,HOLLISTER_2,dummy
0,-2.12,0
1,-2.988,0
2,-4.164,0
3,-5.879,0
4,-5.569,0
5,-4.433,0
6,-1.695,0
7,1.412,0
8,0.654,0
9,-1.059,0
10,-1.372,0
11,-1.399,0
12,-2.417,0
13,-0.742,0
14,0.585,0
15,3.084,0
16,0.308,0
17,-1.272,0
18,1.946,0
19,-0.031,0
20,-0.259,0
21,1.424,0
22,2.771,0
23,1.041,0
24,-0.481,0
25,-1.693,0
26,0.885,0
27,1.905,0
28,0.406,0
29,1.806,0
30,2.849,0
31,3.007,0
32,2.263,0
33,1.898,0
34,-3.235,0
35,-7.129,0
36,-5.418,0
37,-1.957,0
38,-1.781,0
39,-1.737,0
40,2.417,0
41,4.23,0
42,6.551,0
43,7.461,0
44,4.387,0
45,1.518,0
46,2.922,0
47,4.385,0
48,0.715,0
49,-1.258,0
50,-0.541,0
51,-1.487,0
52,-3.512,0
53,-0.772,0
54,4.433,0
55,5.755,0
56,8.002,0
57,6.545,0
58,4.508,0
59,1.254,0
60,-3.723,0
61,-6.357,0
62,-4.157,0
63,-0.6,0
64,-1.277,0
65,-1.564,0
66,-2.223,0
67,-5.834,0
68,-10.651,0
69,-6.903,0
70,-2.053,0
71,-0.564,0
72,-6.667,0
73,-10.238,0
74,-7.133,0
75,-4.909,0
76,-2.13,0
77,-0.499,0
78,-0.04,0
79,-1.312,0
80,4.676,0
81,9.504,0
82,3.84,0
83,2.185,0
84,5.808,0
85,2.815,0
86,0.734,0
87,5.948,0
88,4.236,0
89,-0.039,0
90,8.644,0
91,16.807,0
92,9.6,0
93,1.55,0
94,1.967,0
95,2.937,0
96,-9.374,0
97,-10.294,0
98,6.344,0
99,10.74,0
100,8.576,0
101,7.979,0
102,7.492,0
103,6.002,0
104,3.165,0
105,-8.26,0
106,-14.823,0
107,-9.945,0
108,-1.503,0
109,-2.383,0
110,-10.318,0
111,-9.734,0
112,-3.273,0
113,-0.779,0
114,-2.163,0
115,-1.862,0
116,-7.672,0
117,-4.017,0
118,1.135,0
119,8.388,0
120,20.523,0
121,11.679,0
122,-3.682,0
123,-9.589,0
124,-5.448,0
125,10.171,0
126,16.003,0
127,10.712,0
128,3.271,0
129,-6.369,0
130,-13.244,0
131,-4.105,0
132,2.599,0
133,-4.272,0
134,-4.848,0
135,-2.162,0
136,-2.032,0
137,-10.989,0
138,-9.43,0
139,-8.561,0
140,-10.858,0
141,-7.565,0
142,-8.269,0
143,-7.692,0
144,2.126,0
145,21.735,0
146,24.317,0
147,15.607,0
148,12.2,0
149,-0.334,0
150,-18.136,0
151,-22.748,0
152,-22.054,0
153,-20.466,0
154,-13.1,0
155,7.565,0
156,21.168,0
157,22.28,0
158,10.285,0
159,10.512,0
160,33.854,0
161,23.381,0
162,9.606,0
163,11.558,0
164,4.589,0
165,3.749,0
166,-4.286,0
167,-32.713,0
168,-33.49,0
169,-21.689,0
170,-22.584,0
171,-24.752,0
172,-23.075,0
173,-15.23,0
174,-9.689,0
175,-4.897,0
176,1.838,0
177,4.483,0
178,2.992,0
179,-1.167,0
180,-9.046,0
181,-11.684,0
182,-5.781,0
183,0.36,0
184,-2.511,0
185,-8.468,0
186,-15.461,0
187,-20.659,0
188,-12.247,0
189,-1.447,0
190,1.586,0
191,-5.438,0
192,-11.78,0
193,-7.581,0
194,-9.516,0
195,-13.865,0
196,-16.269,0
197,-8.331,0
198,5.621,0
199,18.923,0
200,19.826,0
201,3.09,0
